id,Y
0,3732.8706
1,23033.213
2,9242.261
3,9286.503
4,23126.674
5,30042.451
6,15218.793
7,11827.299
8,21385.217
9,13453.137
10,24699.393
11,17052.814
12,2543.4956
13,5513.657
14,30451.027
15,12853.959
16,22969.465
17,14875.474
18,5203.484
19,5969.34
20,21230.791
21,19131.838
22,4683.815
23,15215.049
24,6658.671
25,17246.305
26,12915.797
27,23234.938
28,26328.916
29,37130.31
30,12401.088
31,3239.7715
32,21514.957
33,10338.302
34,9246.448
35,30475.287
36,4733.987
37,6265.369
38,18455.795
39,32719.645
40,6691.7666
41,21393.928
42,11022.357
43,13966.746
44,5230.1855
45,20170.893
46,15938.272
47,8387.56
48,19225.781
49,3481.156
50,3350.4277
51,8589.602
52,20250.441
53,16563.566
54,23450.344
55,10636.314
56,10214.24
57,25009.342
58,4176.0176
59,6041.301
60,10335.285
61,21015.037
62,17381.775
63,2270.5303
64,18245.795
65,9633.597
66,1198.8851
67,1969.4188
68,10891.916
69,26352.883
70,7733.731
71,8480.551
72,18066.506
73,13610.394
74,6998.6455
75,20303.275
76,14383.218
77,11289.173
78,27968.572
79,6423.976
80,32842.008
81,28432.584
82,11506.406
83,16307.721
84,14483.597
85,15790.254
86,27027.549
87,3800.5786
88,38779.133
89,16603.297
90,17995.037
91,25862.729
92,23174.607
93,29644.842
94,38274.184
95,8664.619
96,22721.367
97,12069.566
98,12555.216
99,9377.109
100,39282.05
101,8623.997
102,34953.3
103,14215.541
104,21740.176
105,8177.796
106,3599.3987
107,16016.734
108,37978.64
109,9568.535
110,15328.804
111,18951.975
112,14256.042
113,5501.469
114,3616.5664
115,22624.688
116,14800.048
117,19191.377
118,2782.8816
119,26917.451
120,22339.307
121,3434.2656
122,32366.547
123,16390.455
124,12881.535
125,6569.4185
126,14300.913
127,27812.674
128,3308.8909
129,16480.445
130,7669.719
131,12754.262
132,19203.682
133,12491.458
134,26620.846
135,23950.814
136,3093.3303
137,18105.834
138,35714.27
139,12651.186
140,37512.473
141,32524.078
142,17458.732
143,4737.0044
144,5573.3223
145,27410.309
146,28810.115
147,3640.6858
148,18991.564
149,6170.301
150,3693.849
151,22418.424
152,20557.785
153,9881.046
154,8958.576
155,7432.723
156,25240.861
157,3868.9424
158,13893.276
159,4138.041
160,12466.964
161,11492.148
162,20587.234
163,22627.816
164,22240.709
165,25728.871
166,25384.984
167,7186.3057
168,22602.387
169,8782.459
170,24988.957
171,8948.687
172,25768.04
173,25088.176
174,12223.783
175,10924.521
176,8687.914
177,11849.948
178,18827.434
179,7360.51
180,5681.445
181,39502.88
182,6161.8555
183,35225.87
184,9438.6455
185,10501.343
186,9653.952
187,31001.604
188,18141.371
189,8325.868
190,23912.95
191,15509.565
192,3619.7795
193,19050.504
194,33630.992
195,20507.771
196,10281.722
197,28696.23
198,16696.7
199,17179.816
200,6235.869
201,14126.138
202,6831.1543
203,20269.996
204,17270.154
205,9454.981
206,28035.445
207,39961.867
208,7264.3657
209,21562.264
210,22668.209
211,23498.232
212,4525.4883
213,13602.23
214,36385.363
215,10484.1
216,26586.695
217,35760.555
218,3211.7744
219,23145.893
220,5057.782
221,7846.4893
222,16553.16
223,12427.183
224,3051.339
225,3797.2048
226,5522.705
227,12937.026
228,21735.242
229,2974.7373
