id,Y
0,3828.0132
1,23619.36
2,8262.849
3,9494.915
4,23522.65
5,30594.48
6,16131.144
7,11798.76
8,21504.598
9,13715.945
10,24350.332
11,17150.137
12,2544.402
13,5604.4014
14,31202.92
15,13128.469
16,22318.266
17,14842.822
18,4964.7554
19,6147.9185
20,21202.12
21,19061.809
22,4870.5854
23,14851.786
24,7098.318
25,17557.25
26,11725.896
27,23367.518
28,23047.914
29,36928.344
30,12520.8955
31,3305.8147
32,21149.086
33,10274.624
34,9364.355
35,31260.11
36,4793.746
37,5891.337
38,18586.703
39,32926.938
40,6775.3877
41,21215.793
42,10321.986
43,14048.748
44,5327.3413
45,19231.229
46,16412.855
47,8261.241
48,19160.488
49,3491.9756
50,3814.4387
51,8508.178
52,20670.357
53,16980.545
54,23119.287
55,10723.364
56,10794.733
57,25255.598
58,3765.405
59,6028.792
60,10352.866
61,20784.42
62,17700.125
63,2319.9304
64,18203.002
65,9650.629
66,1201.0343
67,1919.566
68,11033.265
69,26576.834
70,7739.7153
71,8320.208
72,18201.543
73,13871.284
74,6912.1445
75,20224.578
76,14126.38
77,11353.3545
78,27894.678
79,6297.795
80,32634.13
81,28485.973
82,11563.272
83,16337.33
84,14576.389
85,15716.544
86,27491.44
87,3739.9812
88,38292.656
89,16428.25
90,18122.938
91,25168.314
92,23490.994
93,29930.404
94,37415.65
95,8829.14
96,21902.943
97,12204.725
98,12618.794
99,9046.302
100,40111.582
101,8759.996
102,35532.78
103,14269.346
104,21919.89
105,8364.041
106,3427.3665
107,15717.519
108,38745.16
109,9488.741
110,15216.413
111,18941.893
112,14213.982
113,5866.249
114,3623.905
115,22602.668
116,15333.658
117,19009.83
118,2672.4937
119,26524.975
120,22006.736
121,3128.9934
122,32493.787
123,16261.996
124,12814.654
125,6463.385
126,14263.277
127,26872.512
128,3233.3123
129,16527.998
130,7460.494
131,12541.477
132,20457.41
133,12015.744
134,26474.15
135,24258.633
136,3112.8623
137,18007.33
138,35634.59
139,12410.233
140,36218.145
141,32385.164
142,17668.52
143,4552.8877
144,5552.146
145,26972.188
146,31108.848
147,3401.6504
148,19963.072
149,6850.7485
150,3828.8276
151,22705.857
152,20376.562
153,9742.779
154,8612.439
155,7978.557
156,25132.385
157,3787.7373
158,14138.134
159,3799.2917
160,12693.983
161,11301.055
162,20588.787
163,23436.93
164,21586.914
165,25801.041
166,24083.438
167,7185.209
168,22465.34
169,8761.008
170,24759.535
171,8569.308
172,25786.158
173,24752.05
174,12486.122
175,10882.238
176,8304.272
177,10890.877
178,19201.775
179,7254.554
180,5808.444
181,39129.46
182,6024.1475
183,34325.016
184,9728.461
185,10673.926
186,9573.392
187,31375.787
188,18488.156
189,9203.16
190,24095.889
191,15281.276
192,3534.235
193,18882.604
194,32577.535
195,20694.877
196,10346.035
197,28688.871
198,17196.047
199,17148.959
200,6816.3213
201,14412.59
202,6507.515
203,20440.834
204,17223.588
205,9711.653
206,27809.094
207,40428.734
208,7186.806
209,22971.24
210,22627.816
211,23049.805
212,4432.5483
213,14033.683
214,35040.145
215,10439.0
216,26588.42
217,35662.91
218,3015.459
