id,Y
0,3612.4495
1,23406.863
2,9871.175
3,8973.97
4,22945.008
5,30205.578
6,13045.491
7,11697.19
8,21526.922
9,13654.6
10,24749.62
11,17486.729
12,2557.5833
13,5852.9136
14,30160.326
15,12553.611
16,23125.682
17,15553.738
18,5370.2485
19,5807.225
20,21350.592
21,18412.352
22,4694.8945
23,15831.632
24,6957.8315
25,16914.922
26,14484.426
27,23063.217
28,27885.342
29,37599.652
30,12426.176
31,3284.358
32,21895.404
33,10520.37
34,9159.367
35,30679.271
36,4667.3623
37,6355.2725
38,18377.09
39,33061.17
40,6610.0283
41,21424.35
42,11072.87
43,13560.599
44,4798.4214
45,20703.03
46,15852.725
47,8353.015
48,18580.04
49,3512.0098
50,3518.3374
51,8503.302
52,20918.115
53,16797.438
54,23633.87
55,10457.097
56,9911.193
57,24916.041
58,4099.319
59,5884.53
60,10124.291
61,21520.99
62,17193.898
63,2178.8613
64,18161.54
65,9667.414
66,1131.368
67,2177.6848
68,10572.242
69,26335.748
70,7709.956
71,8325.55
72,18207.1
73,13094.58
74,7148.2896
75,19971.184
76,14782.695
77,11730.125
78,27373.186
79,6426.256
80,33079.023
81,28729.887
82,11326.272
83,16429.348
84,14487.064
85,15533.34
86,26319.602
87,2977.9346
88,40108.75
89,16991.076
90,17852.03
91,26169.25
92,22523.564
93,29239.916
94,38025.32
95,8612.521
96,22336.643
97,11760.562
98,12826.307
99,9587.938
100,39538.95
101,8741.259
102,34611.53
103,14123.686
104,21913.139
105,8476.321
106,3809.9912
107,16033.164
108,38229.42
109,9492.389
110,15504.183
111,18847.502
112,14329.517
113,5369.5625
114,3657.9736
115,22196.443
116,14609.736
117,18652.123
118,2788.9668
119,26855.09
120,21954.412
121,3653.9802
122,32476.22
123,16510.588
124,13183.175
125,6723.6343
126,14714.741
127,27958.12
128,3235.1726
129,16678.396
130,7550.1763
131,13002.996
132,19690.781
133,12896.89
134,27211.338
135,23904.033
136,3037.8826
137,16991.19
138,35761.406
139,12561.672
140,39327.82
141,32537.791
142,17823.244
143,4712.5366
144,5541.945
145,28693.303
146,28183.533
147,3688.4336
148,19930.902
149,6403.8
150,3639.2415
151,22554.713
152,20708.955
153,9953.7
154,9293.325
155,6960.095
156,25939.207
157,3999.9485
158,13633.051
159,4310.2095
160,12401.017
161,10689.574
162,20675.682
163,22643.166
164,21976.24
165,25574.72
166,26347.906
167,7158.572
168,22305.072
169,8864.926
170,25632.643
171,9184.658
172,25139.695
173,26404.607
174,11945.084
175,11394.989
176,8442.217
177,12878.022
178,18341.193
179,7253.3364
180,5526.1616
181,38419.555
182,5641.473
183,35834.91
184,9825.993
185,10628.253
186,9831.055
187,31375.219
188,18016.691
189,8464.954
190,24044.88
191,15568.817
192,3225.8872
193,18694.33
194,33498.47
195,20758.191
196,10043.254
197,28853.066
198,16754.781
199,17223.572
200,6584.1914
201,13774.61
202,6846.065
203,19796.342
204,17520.25
205,9928.166
206,27765.896
207,39713.81
208,7230.9146
209,20728.951
210,25023.49
211,24006.705
212,4470.1597
213,13388.727
214,36853.266
215,10504.608
216,26563.201
217,34843.734
218,3196.8662
219,23045.496
220,5280.413
221,8017.057
222,16686.432
223,12942.481
224,2652.145
225,3759.6873
226,5536.5137
227,12365.537
228,21386.318
229,3085.685
230,10729.38
231,3828.2468
232,18880.605
233,5925.8223
234,13253.244
235,11101.453
236,27167.334
237,5965.9243
238,4627.1074
239,5617.9854
240,15958.975
241,13334.516
242,20651.008
243,9413.248
244,8660.926
245,20686.648
246,33538.074
247,23396.998
248,17471.992
249,3190.578
250,27773.576
251,9775.749
252,11456.768
253,3255.249
254,10228.796
255,19918.797
256,12854.474
257,40113.266
258,10982.0205
259,12321.954
260,13814.053
261,21520.64
262,11472.218
263,3925.1907
264,20432.822
265,6561.1836
266,18478.691
267,8295.453
268,23687.553
269,12974.565
270,29201.43
271,13302.404
272,10595.551
273,15985.861
274,35318.78
275,6492.2393
276,1825.5571
277,7053.9683
278,5992.9697
279,7260.3413
280,30529.133
281,5154.5674
282,10203.16
283,19768.06
284,8240.41
285,40063.145
286,22655.543
287,1894.6735
288,32529.475
289,16253.871
290,7530.3555
291,31886.865
292,41860.758
293,31647.674
294,3570.0312
295,9586.348
296,15516.919
297,11943.512
298,7979.2725
299,3042.645
300,16628.51
301,9848.22
302,20196.668
303,19341.775
304,33146.477
305,22211.5
306,22312.541
307,13346.591
308,13817.438
309,19634.748
310,16562.902
311,5997.6763
312,10303.839
313,10076.337
314,11766.698
315,12971.026
316,6180.3555
317,5165.243
318,8511.011
319,27711.03
320,16001.375
321,26496.656
322,15071.776
323,6646.545
324,4733.4316
325,31244.967
326,47060.457
327,10699.448
328,4268.842
329,6239.0103
330,13175.885
331,14087.483
332,21641.623
333,5243.6475
334,30457.418
335,12507.886
336,3107.2698
337,10881.802
338,40481.4
339,13132.464
340,33692.5
341,25412.842
342,15250.424
343,20933.562
344,9449.788
345,4425.784
346,26696.816
347,21427.783
348,1959.0283
349,10224.124
350,21836.387
351,21836.22
352,17945.559
353,1812.048
354,4349.7446
355,4603.576
356,14580.018
357,14146.469
358,17368.535
359,30357.426
360,5404.163
361,3738.5188
362,6287.6216
363,3419.225
364,10270.725
365,14230.341
